"location","species","date","stat_method","field_method","count","lower_ci","upper_ci","pref_field_method","conversion_A2G","rmax"
"Garamba","Alcelaphus buselaphus",1976,"S","A",7750,6280,9220,"G",2.302,0.2748
"Garamba","Alcelaphus buselaphus",1983,"S","A",1932,1120,2744,"G",2.302,0.2748
"Garamba","Alcelaphus buselaphus",1984,"S","A",1224,782,1666,"G",2.302,0.2748
"Garamba","Alcelaphus buselaphus",1986,"S","A",1705,1116,2294,"G",2.302,0.2748
"Garamba","Alcelaphus buselaphus",1991,"S","A",987,663,1311,"G",2.302,0.2748
"Garamba","Alcelaphus buselaphus",1993,"S","A",3444,1290,5598,"G",2.302,0.2748
"Garamba","Alcelaphus buselaphus",1995,"S","A",2819,1620,4018,"G",2.302,0.2748
"Garamba","Alcelaphus buselaphus",1998,"S","A",1685,1287,2083,"G",2.302,0.2748
"Garamba","Alcelaphus buselaphus",2000,"S","A",1169,945,1393,"G",2.302,0.2748
"Garamba","Alcelaphus buselaphus",2002,"S","A",1139,907,1371,"G",2.302,0.2748
"Garamba","Alcelaphus buselaphus",2003,"S","A",1595,1142,2048,"G",2.302,0.2748
"Garamba","Alcelaphus buselaphus",2004,"S","A",1204,811,1597,"G",2.302,0.2748
"Garamba","Alcelaphus buselaphus",2012,"T","A",552,NA,NA,"G",2.302,0.2748
"Garamba","Alcelaphus buselaphus",2014,"T","A",698,NA,NA,"G",2.302,0.2748
"Garamba","Alcelaphus buselaphus",2017,"T","A",1051,NA,NA,"G",2.302,0.2748
"Garamba","Giraffa camelopardalis",1976,"S","A",350,100,600,"A",3.011,0.175
"Garamba","Giraffa camelopardalis",1983,"S","A",175,12,338,"A",3.011,0.175
"Garamba","Giraffa camelopardalis",1984,"S","A",237,93,381,"A",3.011,0.175
"Garamba","Giraffa camelopardalis",1986,"S","A",153,13,293,"A",3.011,0.175
"Garamba","Giraffa camelopardalis",1991,"S","A",346,143,549,"A",3.011,0.175
"Garamba","Giraffa camelopardalis",1993,"S","A",347,347,766,"A",3.011,0.175
"Garamba","Giraffa camelopardalis",1995,"S","A",178,178,388,"A",3.011,0.175
"Garamba","Giraffa camelopardalis",1998,"S","A",144,71,217,"A",3.011,0.175
"Garamba","Giraffa camelopardalis",2000,"S","A",118,54,182,"A",3.011,0.175
"Garamba","Giraffa camelopardalis",2002,"S","A",62,49,75,"A",3.011,0.175
"Garamba","Giraffa camelopardalis",2003,"S","A",62,62,137,"A",3.011,0.175
"Garamba","Giraffa camelopardalis",2004,"S","A",185,33,337,"A",3.011,0.175
"Garamba","Giraffa camelopardalis",2012,"T","A",11,NA,NA,"A",3.011,0.175
"Garamba","Giraffa camelopardalis",2014,"T","A",42,NA,NA,"A",3.011,0.175
"Garamba","Giraffa camelopardalis",2017,"T","A",42,NA,NA,"A",3.011,0.175
"Garamba","Hippotragus equinus",1976,"S","A",360,0,890,"G",2.302,0.242
"Garamba","Hippotragus equinus",1983,"S","A",91,91,215,"G",2.302,0.242
"Garamba","Hippotragus equinus",1984,"S","A",0,0,0,"G",2.302,0.242
"Garamba","Hippotragus equinus",1986,"S","A",34,9,59,"G",2.302,0.242
"Garamba","Hippotragus equinus",1991,"S","A",13,1,25,"G",2.302,0.242
"Garamba","Hippotragus equinus",1993,"S","A",150,150,405,"G",2.302,0.242
"Garamba","Hippotragus equinus",1995,"S","A",81,3,159,"G",2.302,0.242
"Garamba","Hippotragus equinus",1998,"S","A",8,1,15,"G",2.302,0.242
"Garamba","Hippotragus equinus",2000,"S","A",0,0,0,"G",2.302,0.242
"Garamba","Hippotragus equinus",2002,"S","A",0,0,0,"G",2.302,0.242
"Garamba","Hippotragus equinus",2003,"S","A",57,57,124,"G",2.302,0.242
"Garamba","Hippotragus equinus",2004,"S","A",281,281,724,"G",2.302,0.242
